Unique ID,Indicator ID,Name,Measure,Measure.1,Measure.2,Measure.3,Geo Place Name,Time Period,Start_Date,Data Value,Air Quality Class
216498,386,Ozone (O3),Mean,ppb,CD,313,Coney Island (CD13),Summer 2013,06-01-2013,34.64,Class 2 (Moderate Air Quality)
216499,386,Ozone (O3),Mean,ppb,CD,313,Coney Island (CD13),Summer 2014,06-01-2014,33.22,Class 2 (Moderate Air Quality)
219969,386,Ozone (O3),Mean,ppb,Borough,1,Bronx,Summer 2013,06-01-2013,31.25,Class 2 (Moderate Air Quality)
219970,386,Ozone (O3),Mean,ppb,Borough,1,Bronx,Summer 2014,06-01-2014,31.15,Class 2 (Moderate Air Quality)
164876,383,Sulfur Dioxide (SO2),Mean,ppb,CD,211,Morris Park and Bronxdale (CD11),Winter 2008-09,12-01-2008,5.89,Class 1 (Good Air Quality)
164877,383,Sulfur Dioxide (SO2),Mean,ppb,CD,212,Williamsbridge and Baychester (CD12),Winter 2008-09,12-01-2008,5.75,Class 1 (Good Air Quality)
219971,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2009,06-01-2009,26.27,Class 2 (Moderate Air Quality)
219972,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2010,06-01-2010,33.83,Class 2 (Moderate Air Quality)
164878,383,Sulfur Dioxide (SO2),Mean,ppb,CD,301,Greenpoint and Williamsburg (CD1),Winter 2008-09,12-01-2008,4.33,Class 1 (Good Air Quality)
164879,383,Sulfur Dioxide (SO2),Mean,ppb,CD,302,Fort Greene and Brooklyn Heights (CD2),Winter 2008-09,12-01-2008,4.41,Class 1 (Good Air Quality)
164880,383,Sulfur Dioxide (SO2),Mean,ppb,CD,303,Bedford Stuyvesant (CD3),Winter 2008-09,12-01-2008,4.73,Class 1 (Good Air Quality)
164881,383,Sulfur Dioxide (SO2),Mean,ppb,CD,304,Bushwick (CD4),Winter 2008-09,12-01-2008,4.71,Class 1 (Good Air Quality)
164882,383,Sulfur Dioxide (SO2),Mean,ppb,CD,305,East New York and Starrett City (CD5),Winter 2008-09,12-01-2008,3.78,Class 1 (Good Air Quality)
164883,383,Sulfur Dioxide (SO2),Mean,ppb,CD,306,Park Slope and Carroll Gardens (CD6),Winter 2008-09,12-01-2008,3.94,Class 1 (Good Air Quality)
164884,383,Sulfur Dioxide (SO2),Mean,ppb,CD,307,Sunset Park (CD7),Winter 2008-09,12-01-2008,3.78,Class 1 (Good Air Quality)
164885,383,Sulfur Dioxide (SO2),Mean,ppb,CD,308,Crown Heights and Prospect Heights (CD8),Winter 2008-09,12-01-2008,4.79,Class 1 (Good Air Quality)
219973,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2011,06-01-2011,33.19,Class 2 (Moderate Air Quality)
219974,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2012,06-01-2012,33.89,Class 2 (Moderate Air Quality)
219975,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2013,06-01-2013,31.13,Class 2 (Moderate Air Quality)
219976,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2014,06-01-2014,31.29,Class 2 (Moderate Air Quality)
164930,383,Sulfur Dioxide (SO2),Mean,ppb,CD,206,Belmont and East Tremont (CD6),Winter 2009-10,12-01-2009,5.3,Class 1 (Good Air Quality)
164931,383,Sulfur Dioxide (SO2),Mean,ppb,CD,207,Kingsbridge Heights and Bedford (CD7),Winter 2009-10,12-01-2009,7.49,Class 1 (Good Air Quality)
130355,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,101,Kingsbridge - Riverdale,2005-2007,01-01-2005,117.7,Class 5 (Hazardous Air Quality)
130356,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,102,Northeast Bronx,2005-2007,01-01-2005,77.3,Class 4 (Very Unhealthy Air Quality)
130357,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,103,Fordham - Bronx Pk,2005-2007,01-01-2005,67.3,Class 3 (Unhealthy Air Quality)
130358,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,104,Pelham - Throgs Neck,2005-2007,01-01-2005,73.6,Class 4 (Very Unhealthy Air Quality)
130359,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,105,Crotona -Tremont,2005-2007,01-01-2005,65.8,Class 3 (Unhealthy Air Quality)
130360,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,106,High Bridge - Morrisania,2005-2007,01-01-2005,84.8,Class 4 (Very Unhealthy Air Quality)
130361,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,107,Hunts Point - Mott Haven,2005-2007,01-01-2005,71.0,Class 4 (Very Unhealthy Air Quality)
130362,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,201,Greenpoint,2005-2007,01-01-2005,64.0,Class 3 (Unhealthy Air Quality)
130363,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,202,Downtown - Heights - Slope,2005-2007,01-01-2005,58.9,Class 3 (Unhealthy Air Quality)
130364,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,203,Bedford Stuyvesant - Crown Heights,2005-2007,01-01-2005,80.0,Class 4 (Very Unhealthy Air Quality)
130365,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,204,East New York,2005-2007,01-01-2005,64.1,Class 3 (Unhealthy Air Quality)
130366,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,205,Sunset Park,2005-2007,01-01-2005,49.2,Class 3 (Unhealthy Air Quality)
130367,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,206,Borough Park,2005-2007,01-01-2005,68.2,Class 3 (Unhealthy Air Quality)
130368,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,207,East Flatbush - Flatbush,2005-2007,01-01-2005,54.9,Class 3 (Unhealthy Air Quality)
130369,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,208,Canarsie - Flatlands,2005-2007,01-01-2005,61.1,Class 3 (Unhealthy Air Quality)
130370,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,209,Bensonhurst - Bay Ridge,2005-2007,01-01-2005,73.4,Class 4 (Very Unhealthy Air Quality)
130371,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,210,Coney Island - Sheepshead Bay,2005-2007,01-01-2005,83.3,Class 4 (Very Unhealthy Air Quality)
130372,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,211,Williamsburg - Bushwick,2005-2007,01-01-2005,72.2,Class 4 (Very Unhealthy Air Quality)
130373,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,301,Washington Heights,2005-2007,01-01-2005,60.5,Class 3 (Unhealthy Air Quality)
130374,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,302,Central Harlem - Morningside Heights,2005-2007,01-01-2005,105.2,Class 5 (Hazardous Air Quality)
130375,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,303,East Harlem,2005-2007,01-01-2005,100.5,Class 5 (Hazardous Air Quality)
130376,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,304,Upper West Side,2005-2007,01-01-2005,59.5,Class 3 (Unhealthy Air Quality)
130377,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,305,Upper East Side,2005-2007,01-01-2005,55.3,Class 3 (Unhealthy Air Quality)
130378,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,306,Chelsea - Clinton,2005-2007,01-01-2005,57.5,Class 3 (Unhealthy Air Quality)
130379,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,307,Gramercy Park - Murray Hill,2005-2007,01-01-2005,52.7,Class 3 (Unhealthy Air Quality)
130380,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,308,Greenwich Village - SoHo,2005-2007,01-01-2005,45.4,Class 3 (Unhealthy Air Quality)
130381,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,309,Union Square - Lower East Side,2005-2007,01-01-2005,66.9,Class 3 (Unhealthy Air Quality)
130382,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,310,Lower Manhattan,2005-2007,01-01-2005,59.5,Class 3 (Unhealthy Air Quality)
130383,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,401,Long Island City - Astoria,2005-2007,01-01-2005,55.3,Class 3 (Unhealthy Air Quality)
130384,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,402,West Queens,2005-2007,01-01-2005,44.6,Class 3 (Unhealthy Air Quality)
130385,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,403,Flushing - Clearview,2005-2007,01-01-2005,54.5,Class 3 (Unhealthy Air Quality)
130386,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,404,Bayside - Little Neck,2005-2007,01-01-2005,48.9,Class 3 (Unhealthy Air Quality)
130387,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,405,Ridgewood - Forest Hills,2005-2007,01-01-2005,72.0,Class 4 (Very Unhealthy Air Quality)
130388,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,406,Fresh Meadows,2005-2007,01-01-2005,52.0,Class 3 (Unhealthy Air Quality)
164932,383,Sulfur Dioxide (SO2),Mean,ppb,CD,208,Riverdale and Fieldston (CD8),Winter 2009-10,12-01-2009,4.24,Class 1 (Good Air Quality)
130389,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,407,Southwest Queens,2005-2007,01-01-2005,49.0,Class 3 (Unhealthy Air Quality)
130390,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,408,Jamaica,2005-2007,01-01-2005,58.2,Class 3 (Unhealthy Air Quality)
130391,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,409,Southeast Queens,2005-2007,01-01-2005,43.0,Class 3 (Unhealthy Air Quality)
130392,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,410,Rockaways,2005-2007,01-01-2005,101.1,Class 5 (Hazardous Air Quality)
130393,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,501,Port Richmond,2005-2007,01-01-2005,65.6,Class 3 (Unhealthy Air Quality)
130394,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,502,Stapleton - St. George,2005-2007,01-01-2005,80.3,Class 4 (Very Unhealthy Air Quality)
130395,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,503,Willowbrook,2005-2007,01-01-2005,73.8,Class 4 (Very Unhealthy Air Quality)
130396,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,504,South Beach - Tottenville,2005-2007,01-01-2005,65.0,Class 3 (Unhealthy Air Quality)
130397,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,101,Kingsbridge - Riverdale,2013,01-01-2013,17.6,Class 1 (Good Air Quality)
130398,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,102,Northeast Bronx,2013,01-01-2013,2.2,Class 1 (Good Air Quality)
130399,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,103,Fordham - Bronx Pk,2013,01-01-2013,24.5,Class 2 (Moderate Air Quality)
130400,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,104,Pelham - Throgs Neck,2013,01-01-2013,4.4,Class 1 (Good Air Quality)
130401,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,105,Crotona -Tremont,2013,01-01-2013,16.9,Class 1 (Good Air Quality)
130402,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,106,High Bridge - Morrisania,2013,01-01-2013,19.7,Class 1 (Good Air Quality)
130403,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,107,Hunts Point - Mott Haven,2013,01-01-2013,3.3,Class 1 (Good Air Quality)
130404,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,201,Greenpoint,2013,01-01-2013,0.4,Class 1 (Good Air Quality)
130405,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,202,Downtown - Heights - Slope,2013,01-01-2013,0.8,Class 1 (Good Air Quality)
130406,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,203,Bedford Stuyvesant - Crown Heights,2013,01-01-2013,0.9,Class 1 (Good Air Quality)
130407,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,204,East New York,2013,01-01-2013,0.1,Class 1 (Good Air Quality)
130408,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,205,Sunset Park,2013,01-01-2013,0.1,Class 1 (Good Air Quality)
130409,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,206,Borough Park,2013,01-01-2013,1.5,Class 1 (Good Air Quality)
130410,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,207,East Flatbush - Flatbush,2013,01-01-2013,2.3,Class 1 (Good Air Quality)
130411,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,208,Canarsie - Flatlands,2013,01-01-2013,0.0,Class 1 (Good Air Quality)
130412,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,209,Bensonhurst - Bay Ridge,2013,01-01-2013,1.7,Class 1 (Good Air Quality)
130413,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,210,Coney Island - Sheepshead Bay,2013,01-01-2013,0.9,Class 1 (Good Air Quality)
130414,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,211,Williamsburg - Bushwick,2013,01-01-2013,0.3,Class 1 (Good Air Quality)
130415,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,301,Washington Heights,2013,01-01-2013,51.0,Class 3 (Unhealthy Air Quality)
130416,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,302,Central Harlem - Morningside Heights,2013,01-01-2013,15.7,Class 1 (Good Air Quality)
130417,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,303,East Harlem,2013,01-01-2013,11.6,Class 1 (Good Air Quality)
130418,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,304,Upper West Side,2013,01-01-2013,99.7,Class 4 (Very Unhealthy Air Quality)
130419,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,305,Upper East Side,2013,01-01-2013,95.0,Class 4 (Very Unhealthy Air Quality)
130420,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,306,Chelsea - Clinton,2013,01-01-2013,67.4,Class 3 (Unhealthy Air Quality)
130421,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,307,Gramercy Park - Murray Hill,2013,01-01-2013,78.8,Class 4 (Very Unhealthy Air Quality)
